UI_VR_RECENTRE	{Recentre VR View}
TRA_NPC_COLD_RET2_RES_A_5	{I temporarily lose myself in the smell of profit, ambition, intergalactic power. When I come to, the Gek is smiling at me. I feel a little wealthier.}
TRA_NPC_COLD_RET2_RES_B_5	{I temporarily lose myself in the smell of distant realities, the possibilities of infinite worlds. When I come to, the Gek is smiling at me. I feel a little wiser.}
TRA_NPC_LUSH_DESC_2	{This Gek's fragrance struck me before I noticed them. Their very presence is an olfactory delight of spring and sunshine, and they appear to know it, smugly waving me over.
%NAME% produces a gem-like Star Bramble blossom, deeply inhaling the air around it. They offer it to me, but I detect no scent beyond the Gek's own pheromones.
Waving the blossom in my face, the sharp-eyed lifeform indicates the bountiful fields outside. I gather that they are <STELLAR>asking for my assistance<>...}
DNT_TRA_NPC_LUSH_LANG_2	{This world is a pleasure of smells, friend, you agree? I am studying the fragrance of local Star Bramble blossoms. Gives me much influence, happy customers! But nature offers insufficient growth!}
TRA_NPC_LUSH_OPT_A_2	{Offer botanical assistance}
TRA_NPC_LUSH_OPT_B_2	{Leave}
TRA_NPC_LUSH_RES_A_2	{Unable to contain their excitement, the Gek's pheromones explode in a dizzying spectrum of smells.}
TRA_NPC_LUSH_RES_B_2	{The Gek seems disappointed, and makes a private note to themselves.}
TRA_NPC_LUSH_FARM_RET	{%NAME% greets me with such exuberant charm that I almost blush. Despite their alien appearance, it is impossible not to feel enamoured with this brilliant, kind-hearted, generous, resourceful, strong, clever, talented, hard-working, sensitive, beautiful--
I catch the thought spiral. The Gek's pheromones must be exceptionally powerful to cause this. They smile coyly.}
TRA_NPC_LUSH_FARM_RET_OPT_A	{Purchase pheromones}
TRA_NPC_LUSH_FARM_RET_RES_A	{%NAME% seems willing to sell a little of their magic. They install the pheromone dispenser directly into my Exosuit. It will remain potent for at least a few years, they assure me.}
TRA_NPC_LUSH_FARM_RET_OPT_B	{Give samples}
TRA_NPC_LUSH_FARM_RET_RES_B	{%NAME%'s delight is infectious. It feels glorious just being near them.
With deft, beguiling movements, they pluck the seeds from the blossoms, and place them in my hand. Anywhere in the soil outside will soon nourish these into healthy Star Brambles.}
TRA_NPC_LUSH_DESC_3	{This Gek is all smiles and hospitable pheromones. They indicate that they are set up to receive tourists such as myself, and have an assortment of useful items in stock, depending on how much I have to spend...}
DNT_TRA_NPC_LUSH_LANG_3	{Benevolent temperature planet brings many visit from friends! Five traveller today! SalesGek stockpile going fast, buy now!}
TRA_NPC_LUSH_OPT_A_3	{Very few units}
TRA_NPC_LUSH_OPT_B_3	{A modest sum}
TRA_NPC_LUSH_OPT_C_3	{Fabulous riches}
TRA_NPC_LUSH_RES_A_3	{%NAME% murmurs an acknowledgement, though can't quite hide their disappointment. For very few units, they could offer any of the following...}
TRA_NPC_LUSH_RETA_OPT_A_3	{Some antique iron}
TRA_NPC_LUSH_RETA_OPT_B_3	{Some friendly slime}
TRA_NPC_LUSH_RETA_OPT_C_3	{Some dead tree}
TRA_NPC_LUSH_RES_B_3	{%NAME% looks pleased. For a modest sum, they could offer any of the following...}
TRA_NPC_LUSH_RETB_OPT_A_3	{Life support fuel}
TRA_NPC_LUSH_RETB_OPT_B_3	{Hazard protection fuel}
TRA_NPC_LUSH_RETB_OPT_C_3	{Starship launch fuel}
TRA_NPC_LUSH_RES_C_3	{%NAME% giggles reflexively, releasing a joyous burst of scent. I am their favourite sort of customer. For a reasonable sum, they could offer any of the following...}
TRA_NPC_LUSH_RETC_OPT_A_3	{Exosuit technology}
TRA_NPC_LUSH_RETC_OPT_B_3	{Starship technology}
TRA_NPC_LUSH_RETC_OPT_C_3	{Multi-Tool technology}
TRA_NPC_LUSH_RET_OPT_D_3	{Something else...}
TRA_NPC_LUSH_RES_ALL_3	{The Gek produces my chosen product with a flourish and a little bow.}
TRA_NPC_DUST_DESC_2	{This Gek has a desperate look in their eyes. They hastily conceal something from my view, but then a moment later seem to reconsider, sadly revealing what appears to be a withered plant, quite dead.
They indicate the arid earth outside, the shrivelled alien flora flopping pathetically in their hand. I gather that they are <STELLAR>asking for my assistance<>...}
DNT_TRA_NPC_DUST_LANG_2	{Traveller friend! So happy to have help! I have big trouble! Maybe I took too many plants from the local dirt. Now the dirt is ruined! Need love, new plants!}
TRA_NPC_DUST_OPT_A_2	{Offer botanical assistance}
TRA_NPC_DUST_OPT_B_2	{Leave}
TRA_NPC_DUST_RES_A_2	{The Gek looks so relieved that for a moment, I think they are about to embrace me. I leave quickly.}
TRA_NPC_DUST_RES_B_2	{An indescribable percussive sound issues from the Gek's beak. I get the impression that if the lifeform had lips, it would be pouting.}
TRA_NPC_DUST_FARM_RET	{%NAME% is still nursing the wilted cactus, but tosses it aside the moment they see me. They eye the fresh Cactus Flesh greedily.}
TRA_NPC_DUST_FARM_RET_OPT_A	{Give samples}
TRA_NPC_DUST_FARM_RET_RES_A	{The Gek thanks me. They run the cactus through a device that drains the flesh and squeezes the seeds loose. The motions come naturally, as though they've done this hundreds of times, but I notice their hands shaking.
They hand over the seeds for planting, but look at me quizzically. Their confidence is rattled. What if these crops, too, wither and die?}
TRA_NPC_DUST_FARM_RET2_OPT_A	{Suggest something stronger}
TRA_NPC_DUST_FARM_RET2_OPT_A1	{Suggest coprite}
TRA_NPC_DUST_FARM_RET2_OPT_A2	{Suggest faecium}
TRA_NPC_DUST_FARM_RET2_OPT_B	{Suggest nitrogen salt}
TRA_NPC_DUST_FARM_RET2_OPT_C	{Suggest reducing harvest}
TRA_NPC_DUST_FARM_RET2_RES_A	{%NAME% makes a disgusted face, but seems to accept the advice, assuring me they will follow through - once I have got their farm started.}
TRA_NPC_DUST_FARM_RET2_RES_B	{%NAME%'s eyes open wide. Nitrogen salt is expensive. However, they seem to accept the advice, assuring me they will follow through - once I have got their farm started.}
TRA_NPC_DUST_FARM_RET2_RES_C	{%NAME% seems depressed by the idea of sacrificing some of their valuable crops to nature. However, they seem to accept the advice, assuring me they will follow through - once I have got their farm started.}
TRA_NPC_DUST_DESC_3	{This Gek seems lost in thought, their eyes unfocused and scent glands inactive. Distractedly, they greet me, but lack the polished facade customary of their species. They indicate they have nothing to trade.}
DNT_TRA_NPC_DUST_LANG_3	{Sweet memories... sorry, friend, please leave me. I do not feel like trading today.}
TRA_NPC_DUST_OPT_A_3	{Ask about trade}
TRA_NPC_DUST_OPT_B_3	{Ask about pheromones}
TRA_NPC_DUST_OPT_C_3	{Ask about friends}
TRA_NPC_DUST_RES_A_3	{%NAME% shakes their head, dismissing me. They indicate that they wish to be left alone.}
TRA_NPC_DUST_RES_B_3	{%NAME% shakes their head, dismissing me. They indicate that they wish to be left alone.}
TRA_NPC_DUST_RES_C_3	{The small lifeform perks up, sharing an image of two Gek children. One is clearly %NAME% themselves. The other, grubby-faced, clutches a muddy trowel. They stand hand in hand, the very best of friends.
The Gek looks at me inquisitively, pointing towards their childhood friend, searching my face for any recognition.}
TRA_NPC_DUST_RET_OPT_A_3	{Say you recognise the Gek}
TRA_NPC_DUST_RET_OPT_B_3	{Say you don't}
TRA_NPC_DUST_RET_RES_A_3	{In the strangest of coincidences, the other Gek in the image is unquestionably familiar: I recognise the farmer I hired to attend my base. This must be their home planet.
%NAME% is beside themselves with joy as I share the coordinates for my base. They thank me over and over, babbling in their own language, and finishing up with a gift.}
TRA_NPC_DUST_RET_RES_B_3	{I shake my head apologetically. I cannot place this specific Gek, not with any certainty. %NAME%, nodding sadly, seems to have expected this response.}
TRA_NPC_TOX_DESC_2	{The Gek flinches as I approach, and hurriedly stows the datapad they were examining. I catch only a fleeting glimpse of a healthy-looking financial report, alongside what looks like plans for a nutrient distribution and irrigation system.
They indicate the toxic landscape outside, pointing out some of the more striking fungal clusters. I gather that they are <STELLAR>asking for my assistance<>...}
DNT_TRA_NPC_TOX_LANG_2	{My friend has much admired farm, always they succeeds! Help distribute spores here, create rival business?}
TRA_NPC_TOX_OPT_A_2	{Offer botanical assistance}
TRA_NPC_TOX_OPT_B_2	{Leave}
TRA_NPC_TOX_RES_A_2	{The Gek seems taken aback by my offer of help, as though they had somehow expected less from me. They nod tentatively, again pointing out the fungal clusters.}
TRA_NPC_TOX_RES_B_2	{The Gek looks at me blankly, their expression unreadable.}
TRA_NPC_TOX_FARM_RET	{%NAME% jumps in surprise. It seems they hadn't expected to see me again.}
TRA_NPC_TOX_FARM_RET_OPT_A	{Give samples}
TRA_NPC_TOX_FARM_RET_RES_A	{The Gek takes the fungus, but their response is muted. They sniff at its gills suspiciously. They seem to be questioning its origins, perhaps thinking me some sort of threat, or spy.}
TRA_NPC_TOX_FARM_RET2_OPT_A	{Give units}
TRA_NPC_TOX_FARM_RET2_OPT_B	{Threaten them}
TRA_NPC_TOX_FARM_RET2_OPT_C	{Prove identity}
TRA_NPC_TOX_FARM_RET2_RES_A	{The trader shivers with involuntary pleasure as they receive the units. They still seem suspicious, but the monetary gift has soothed them somewhat.
Taking the mould in one hand, they process it in a small device. The contraption steams up, and the spores inflate into what look like miniature fungal trees. The bizarre spectacle is over in moments.}
TRA_NPC_TOX_FARM_RET2_RES_B	{%NAME%, already on edge, reacts poorly to being threatened. They shout at me furiously to get out of their sight.}
TRA_NPC_TOX_FARM_RET2_RES_C	{I produce my Exosuit's logs of my past dealings with other Geks. %NAME%, persuaded of my integrity, apologises profusely. They transfer me units as a gesture of goodwill.
Taking the mould in one hand, they process it in a small device. The contraption steams up, and the spores inflate into what look like miniature fungal trees. The bizarre spectacle is over in moments.}
TRA_NPC_TOX_DESC_3	{A musty odour surrounds this Gek, their scales glistening with anxious sweat. They seem glad of my company, but not entirely present in it, their eyes darting repeatedly towards a landing pad outside this facility.}
DNT_TRA_NPC_TOX_LANG_3	{Grand Festival events imminent! Collection is late, late, late! Trade Lords will not be happy!}
TRA_NPC_TOX_OPT_A_3	{Ask about landing pad}
TRA_NPC_TOX_OPT_B_3	{Ask about container}
TRA_NPC_TOX_RES_A_3	{The Gek gazes anxiously towards the landing pads, as though hoping to see a specific ship. They indicate the container they clutch, and gesture towards a date printed on its side.}
TRA_NPC_TOX_RES_B_3	{Surreptitiously, as though not authorised to do so, %NAME% cracks open the container they clutch. Inside, I glimpse a pale fungus, coated in fur. It looks freshly picked, and smells dizzying, almost like starship fuel.
The Gek licks their beak, then quickly re-seals the container. They gesture towards a date printed on its side, then again look towards the facility's landing pads.}
TRA_NPC_TOX_RET_3	{Fresh perspiration leaks from their face. Whoever was scheduled to collect this product from %NAME% is running very late.}
TRA_NPC_TOX_RET_OPT_A_3	{Offer to deliver product}
TRA_NPC_TOX_RET_OPT_B_3	{Request official help}
TRA_NPC_TOX_RET_RES_A_3	{%NAME%'s eyes widen as I reach for the container, shaking their head no. They acknowledge the sincerity of my offer, but cannot let this out of their sight.}
TRA_NPC_TOX_RET_RES_B_3	{Reaching out to the local authorities, I prompt %NAME% to explain their dilemma. There is a muffled <AUDIO>TXT_RadioNoise<>sound in the transmission, then a new voice comes on the line.
A Gek Trade Lord - speaking in language I can understand - personally thanks me. I am to be compensated for my assistance, and a different courier will be along shortly to deliver the container to the Grand Festival.}
TRA_NPC_RAD_DESC_2	{This Gek is examining an array of hydro-balanced specimen capsules, each crafted from a slightly different material, and containing a single blossom, oddly radiant.
The small lifeform beams at me, apparently proud to show off their botanical collection. They indicate the irradiated landscape outside. I gather that they are <STELLAR>asking for my assistance<>...}
DNT_TRA_NPC_RAD_LANG_2	{I am loving life! Loving plants here, such excellence! Nothing to do with profits.}
TRA_NPC_RAD_OPT_A_2	{Offer botanical assistance}
TRA_NPC_RAD_OPT_B_2	{Leave}
TRA_NPC_RAD_RES_A_2	{The Gek clicks their beak in jittery excitement, pleased to have found a kindred soul with an interest in plants.}
TRA_NPC_RAD_RES_B_2	{The Gek raises one of the blossom capsules, as if to prove how beautiful it is. They look sad as I leave.}
TRA_NPC_RAD_FARM_RET_LANG	{No need for queries. The technology will be obedient.}
TRA_NPC_RAD_FARM_RET	{%NAME% terminates a call. They greet me sweetly, hoping I have brought the promised Gamma Weed cuttings.}
TRA_NPC_RAD_FARM_RET_OPT_A	{Give samples}
TRA_NPC_RAD_FARM_RET_RES_A	{%NAME% inserts the glowing weed into a handheld device, which begins to vibrate. Puffs of luminous pollen drift around the chamber. The Gek then hands me the extracted seeds, ready for planting.}
TRA_NPC_RAD_FARM_RET_OPT_B	{Ask about call}
TRA_NPC_RAD_FARM_RET_RES_B	{A look of concentration passes over the Gek's face, and I am hit with a cloying smell. It is distractingly unidentifiable - somewhere between burnt sugar and decomposition. I find I can't remember what I just asked.}
TRA_NPC_RAD_DESC_3	{Something about this Gek seems pioneering, bold. A light dusting of soil coats the ends of their sleeves, as though they've been rummaging in the earth outside.
They show me a chunk of irradiated mineral they have collected - not uranium, but a glowing crimson substance that I struggle to look at directly. They have fashioned some of the strange material into an experimental suit upgrade, apparently ready to sell...}
DNT_TRA_NPC_RAD_LANG_3	{Look at this geological find! Element shiny like stars, makes good suit technology for you, friend!}
TRA_NPC_RAD_OPT_A_3	{Trade units for upgrade}
TRA_NPC_RAD_OPT_B_3	{Trade gift for upgrade}
TRA_NPC_RAD_RES_A_3	{As I reach out to take the technology, I am suddenly overpowered by nausea. For a moment, everything hurts - every joint screams, my soft tissue on fire, the pressure behind my eyes unbearable...
The moment passes. The Gek looks at me, slightly puzzled, but is pleased to have made a sale.}
TRA_NPC_SHOP_DESC_1	{This Gek is gripping a datapad, making notes in what appears to be a personalised database of product IDs and associated prices. Their fingers fly across the screen with a zealous, almost greedy enthusiasm.}
DNT_TRA_NPC_SHOP_LANG_1	{So much to buy! Best trade on planet! Economy here is fascinating, friend! I research, find best trade routes.}
TRA_NPC_SHOP_OPT_A_1	{Examine data}
TRA_NPC_SHOP_OPT_B_1	{Deeply examine data}
TRA_NPC_SHOP_OPT_C_1	{Request commodity evaluation}
TRA_NPC_SHOP_RES_A_1	{The Gek seems happy to share their research. They eagerly talk me through some of their favourite trade routes, and offer directions to a nearby outpost.}
TRA_NPC_SHOP_RES_B_1	{The Gek seems thrilled to share their research with a genuine friend. They eagerly talk me through some of their favourite trade routes, and offer directions to a nearby outpost, gifting me Units as a gesture of friendship.}
TRA_NPC_SHOP_RES_C_1	{The Gek rotates the curio in their hands, squeaking with approval as they assess its quality. They offer me a good price, and make note of the system where they can turn a profit on it.}
TRA_NPC_SHOP_DESC_2	{This Gek has been observing me closely from the moment I stepped into this small trade outlet. They look completely at home, as though most of their time is spent here.
They share two images of Multi-Tools: the left one elaborate and extensively modified, accompanied by a large Unit sum; the right a simpler but far less expensive model. They look at me expectantly, awaiting a choice.}
DNT_TRA_NPC_SHOP_LANG_2	{Hello friend! Units to spend? Which product would friend choose?}
TRA_NPC_SHOP_OPT_A_2	{Choose left image}
TRA_NPC_SHOP_OPT_B_2	{Choose right image}
TRA_NPC_SHOP_OPT_C_2	{Choose both}
TRA_NPC_SHOP_RES_A_2	{A delighted shriek erupts from the Gek, causing my ears to ring. A sunny aroma fills the small building, and the Gek transfers me a gift of Units. I itch to spend them immediately.}
TRA_NPC_SHOP_RES_B_2	{They seem unsurprised by my choice, and exchange both a meaningful look and an eye-stinging scent with the Gek behind the counter.}
TRA_NPC_SHOP_RES_C_2	{The Gek pauses, thrown by my choice. Evidently, they had not considered the possibility of this outcome. Eventually their beak opens into a smile, and offer me Units to encourage my urge to spend.}
TRA_NPC_SHOP_DESC_3	{The Gek is lazily browsing the trade terminal catalogue, not appearing to be searching for anything in particular. They make a note of a few items that apparently catch their interest, uttering a soft exclamation to themselves.}
DNT_TRA_NPC_SHOP_LANG_3	{Best bargains on best items for best Gek friends! Merchant and I best friends since spawn.}
TRA_NPC_SHOP_OPT_A_3	{Join in browsing}
TRA_NPC_SHOP_OPT_B_3	{Point to highlighted item}
TRA_NPC_SHOP_OPT_C_3	{Point to random item}
TRA_NPC_SHOP_RES_A_3	{The Gek chuckles to themselves as I accompany their browsing the items available for trade. I somehow get the feeling that I am the subject of their private joke. They pat me gently and give me Units, as though in sympathy.}
TRA_NPC_SHOP_RES_B_3	{The Gek suddenly takes notice, looking me up and down. After a moment of assessment, they shake their head, indicating a different item instead. They are so pleased by the opportunity to share their knowledge that they purchase and gift me the item.}
TRA_NPC_SHOP_RES_C_3	{The Gek looks at me, looks at the item I have indicated, looks at me again - and then dissolves into helpless giggling. The merchant behind the counter shakes their head in a way that suggests they have seen this scenario before.}
TRA_NPC_SHOP_DESC_4	{This Gek is entering copious notes into a datapad, looking around furtively. They seem to be assessing the quality of this trade facility, but when they notice me observing them, they straighten themselves awkwardly and shield the device's screen from view.}
DNT_TRA_NPC_SHOP_LANG_4	{Not for your eyes! I am just customer, not from rival trade station, nothing illegal!}
TRA_NPC_SHOP_OPT_A_4	{Peek at notes}
TRA_NPC_SHOP_OPT_B_4	{Point out a facility detail}
TRA_NPC_SHOP_OPT_C_4	{Alert merchant}
TRA_NPC_SHOP_RES_A_4	{The Gek seems irritated, snatching their datapad away from my reach. They point at themselves and then at me, shaking their head and babbling until I leave.}
TRA_NPC_SHOP_RES_B_4	{I subtly draw %NAME%'s attention to a minor manufacturing fault in the facility's construction. They seem oddly comforted by the detail, adding it to their notes. They coyly slip me a gift in thanks.}
TRA_NPC_SHOP_RES_C_4	{I clear my throat loudly, drawing the nearby merchant's attention to %NAME%'s surreptitious note-taking. A gentle alarm sounds, and I am immediately rewarded by the Gek Trade Federation for aiding the fight against corporate espionage.}
TRA_NPC_OUTPOST_DESC_1	{The Gek, overwhelmed by excitement, begins to hyperventilate as I approach. They query something on their datapad, then look up at me.
Proudly, they extend a hand to shake mine, confident they have identified the socially appropriate greeting for my species.}
DNT_TRA_NPC_OUTPOST_LANG_1	{A new friend! A traveller friend! I am here to make new friends. I must choose the correct hello...}
TRA_NPC_OUTPOST_OPT_A_1	{Shake their hand}
TRA_NPC_OUTPOST_OPT_B_1	{Embrace them}
TRA_NPC_OUTPOST_OPT_C_1	{Punch them}
TRA_NPC_OUTPOST_RES_A_1	{A coo of delight escapes %NAME% as we shake hands. Their grip is surprisingly well calibrated, neither too firm nor too flimsy. It is a well-researched handshake, if unpracticed.}
TRA_NPC_OUTPOST_RES_B_1	{%NAME% gasps, recognising this alternative form of greeting. There is an awkward clink of beak upon glass as they attempt to kiss my visor.}
TRA_NPC_OUTPOST_RES_C_1	{%NAME% begins to cry, not understanding what error they made to provoke such an aggressive response. They no longer seem to want to be friends.}
TRA_NPC_OUTPOST_RET_1	{The Gek gestures around the outpost, indicating all the friends they have acquired here. They then gesture towards me, smiling shyly. I am now counted among %NAME%'s many friends, and they would like to know the size of my own friendship circle.}
TRA_NPC_OUTPOST_RET_OPT_A_1	{A modest circle}
TRA_NPC_OUTPOST_RET_OPT_B_1	{A wide circle}
TRA_NPC_OUTPOST_RET_OPT_C_1	{An enviable circle}
TRA_NPC_OUTPOST_RET_RES_A_1	{The Gek's expression flickers, something else briefly replacing their excitement. Out of their depth, they regress to the social niceties most familiar to them, and gift me units to assist with my future friendships.}
TRA_NPC_OUTPOST_RET_RES_B_1	{The Gek looks awed to be in the company of such a prominent diplomat. %NAME% slips something into my hand, hoping I will remember them.}
TRA_NPC_OUTPOST_RET_RES_C_1	{%NAME% is hyperventilating again.
Instinctively, they shower me with units, hoping to impress.}
TRA_NPC_OBS_DESC_1	{This Gek seems startled, their breathing rapid and shallow. Apparently, they were not expecting company.}
DNT_TRA_NPC_OBS_LANG_1	{Friend surprised me! This is legal business network! But technology does need help...}
TRA_NPC_OBS_DESC_1A	{%NAME%'s sharp eyes dart over my pack, considering its possible contents. They cautiously point towards the facility's terminal, perhaps requesting help...}
TRA_NPC_OBS_OPT_A_1	{Offer assistance}
TRA_NPC_OBS_RES_A_1	{The Gek nods warily, their guard still up.}
TRA_NPC_OBS_RES_B_1	{The Gek says nothing, keeping their thoughts to themselves.}
TRA_NPC_OBS_WAIT_1	{The Gek gives a sceptical click of their beak. The facility terminal remains non-functional, at least for whatever %NAME%'s purposes are.}
TRA_TERM_OBS_DESC_1	{The facility dish is sweeping for some ancient signal, the terminal tarnished with age and disuse. However, the dust is smeared in places, where modern components have been wired into the original equipment.
Whatever this terminal was repurposed for, it is currently malfunctioning. The modern tech has been inexpertly installed, and the central wiring loom seems to have short circuited.}
TRA_TERM_OBS_OPT_A_1	{Replace loom}
TRA_TERM_OBS_CHAIN_DESC_1	{The display immediately brightens, rendering a celestial map of several nearby systems. Dozens of starship beacons, red and green, blink erratically around the map.
Periodically, the green beacons swarm together, encircling a target. The surrounded beacon fades to nothing, apparently destroyed. At the bottom of the screen, a <IMG>UNITS<> value increases dramatically.}
TRA_TERM_OBS_CHAIN_OPT_A_1	{Download report}
TRA_TERM_OBS_CHAIN_OPT_B_1	{Extract profits}
TRA_TERM_OBS_CHAIN_RES_LANG_A_1	{GALACTIC 'FRIEND' NETWORK... DOWNLOADING DATA SUMMARY...
PROFIT: <IMG>UNITS<>392M <IMG>SLASH<> 'CUSTOMERS': 2241 <IMG>SLASH<> EMPLOYEE SHIPS: 482}
TRA_TERM_OBS_CHAIN_RES_A_1	{The final line of the report stands out from the rest of the data, explicitly revealing the nature of this Galactic 'Friend' Network...}
TRA_TERM_OBS_CHAIN2_RES_LANG_A_	{EMPLOYEE OF THE MONTH: DREAD PIRATE OGAARKIV}
TRA_TERM_OBS_CHAIN2_RES_A_1	{I download the data to my Exosuit logs. I could consider confronting the Gek with these findings.}
TRA_TERM_OBS_CHAIN_RES_B_1	{I select the option to 'extract profits' from the terminal. My account immediately begins to flood with units, thousands upon thousands.
The nearby Gek suddenly notices what I am doing. They shut the process down, screaming at me to get out.}
TRA_NPC_OBS_RET_DESC_1	{The Gek looks pleased to see their network connection restored, though there is still a skittishness about them. They offer me a reasonable sum of units for the supplies and labour I have provided.}
TRA_NPC_OBS_RET_OPT_A_1	{Accept payment}
TRA_NPC_OBS_RET_OPT_B_1	{Threaten with data}
TRA_NPC_OBS_RET_RES_A_1	{%NAME% seems to relax at last. They transfer the promised payment with a sly smile.}
TRA_NPC_OBS_RET_RES_B_1	{%NAME% trembles with rage or fear - or both. They offer an increased sum, a substantial bribe for my silence.}
TRA_NPC_OBS_RET2_OPT_A_1	{Accept bribe}
TRA_NPC_OBS_RET2_OPT_B_1	{Report piracy}
TRA_NPC_OBS_RET2_RES_A_1	{The Gek transfers the bribe with a forced smile, then pointedly motions for me to leave.}
TRA_NPC_OBS_RET2_RES_B_1	{I report the illegal pirate network to the Gek Trade Federation. %NAME% wails with despair, cursing themselves for involving me. The authorities, however, are thrilled, and transfer a generous reward.}
TRA_NPC_FREIGHTER_DESC_1	{This Gek seems relatively new to freighter life. From time to time their eyes drift towards the windows, seemingly mesmerised by the infinite expanse of stars and the distant worlds orbiting them.}
TRA_NPC_FREIGHTER_DESC_2	{The Gek stares at me with open fascination. Something about their wide-eyed curiosity seems naive, as though they've lived a sheltered existence. Perhaps they have never stepped outside this very freighter.}
TRA_NPC_FREIGHTER_DESC_3	{The gloves of this Gek's Exosuit bear traces of food, and the fingers are slightly puckered, suggesting a long history of damage and repair. I gather they must be responsible for feeding the freighter's crew.}
TRA_NPC_FREIGHTER_DESC_4	{This Gek seems content enough to serve on this freighter, but I notice them checking their account balance with a frequency bordering on obsessive. Perhaps they see a different life in their future.}
TRA_NPC_FREIGHTER_DESC_5	{The lifeform stands to attention as I near them, stashing away some products they've readied for trade. Freighter life must be a lucrative opportunity for enterprising Geks.}
EXP_NPC_OPT_WORD_GET_LORE	{Korvax symbol}
EXP_REPLY_WORD_GET	{%NAME% seems pleased by my intellectual curiosity. They present a selection of symbols, each representing a type of Korvax word I might learn...}
EXP_REPLY_WORD_GET2	{%NAME% presents a list of symbols, each seeming to represent a word I might learn.}
EXP_REPLY_WORD_GET3	{Pleased to be queried, %NAME% presents a series of symbols that seem to represent words I might learn.}
EXP_REPLY_WORD_GET4	{%NAME%'s visor flashes as they project language symbols into the air.}
EXP_REPLY_WORD_GET5	{I feel a light jolt pass between me and %NAME%. Strange symbols form in my mind, each representing a concept I might learn...}
EXP_REPLY_WORD_GET6	{%NAME% touches my suit. Strange symbols form in my mind, each representing a concept I might learn...}
EXP_REPLY_WORD_GET7	{%NAME% hums with approval. They present their datapad, displaying a list of language symbols...}
EXP_REPLY_WORD_GET8	{%NAME% pauses, briefly motionless as they assess something. Finally, they seem to soften, presenting me with a list of language symbols.}
EXP_REPLY_WORD_GET9	{The lifeform's visor warps and flickers, some inter-Korvax consultation taking place. A moment later, %NAME% is restored. They present a list of language symbols.}
EXP_REPLY_WORD_GET10	{%NAME% buzzes their acknowledgement. They offer a list of language symbols - a choice of subjects to learn.}
EXP_REPLY_WORD_GET11	{%NAME% asks something incomprehensible. I stare, blank. Finally they present a selection of simple glyphs - concepts of word I might learn...}
EXP_REPLY_WORD_SAY	{%NAME% tilts their head, their speech parser awaiting my input. I recall some of the Korvax words I have learnt...}
EXP_REPLY_WORD_SAY2	{%NAME% faces me, expressionless. I can only assume they are listening. I consider which Korvax word to say...}
EXP_REPLY_WORD_SAY3	{%NAME% activates their speech parser, waiting to hear what I have to say. Their shell tilts towards me with genuine fascination...}
EXP_REPLY_WORD_SAY4	{I recall some of the Korvax words I have learnt, in the hope of impressing %NAME%.}
EXP_REPLY_WORD_SAY5	{I clear my throat, warming up my vocal cords. Several Korvax words come to mind...}
EXP_REPLY_WORD_SAY6	{I inhale, thinking through some of the Korvax words I am confident of pronouncing...}
EXP_REPLY_WORD_SAY7	{%NAME% appears to be preparing to take notes. I rack my brain for my most impressive Korvax vocabulary...}
EXP_REPLY_WORD_SAY8	{I feel more than one entity observing me through %NAME%'s shell. I hurry to think of an appropriate word to say...}
EXP_REPLY_WORD_SAY9	{%NAME%'s attention is wholly, intimidatingly, focused on me. I recall several Korvax words I might say to them...}
EXP_REPLY_WORD_SAY10	{%NAME% is silent, listening attentively. I try to think of an appropriate word to say...}
EXP_REPLY_WORD_SAY_NONE	{%NAME% tilts their head expectantly, but my mind goes blank. I should learn some more Korvax words before attempting to communicate in %NAME%'s native language.}
EXP_NPC_RES_WORD_SAY_DIR_NEG_1	{%NAME% shakes their head. Whatever they believe I am requesting, they are not willing to provide it.}
EXP_NPC_RES_WORD_SAY_DIR_NEG_2	{%NAME% is unable to parse my request. They appear disappointed.}
EXP_NPC_RES_WORD_SAY_DIR_NEG_3	{%NAME%'s visor flashes, but our exchange ends there. They are unable, or unwilling, to provide directions.}
EXP_NPC_RES_WORD_SAY_DIR_NEU_1	{%NAME% nods, and gestures out towards the stars.}
EXP_NPC_RES_WORD_SAY_DIR_POS_1	{%NAME% seizes my arm, seeming to believe I am lost. They offer directions to a nearby point of interest.}
EXP_NPC_RES_WORD_SAY_HELP_NEG_1	{%NAME% shakes their head sadly. They sense I am in need of help that they cannot provide.}
EXP_NPC_RES_WORD_SAY_HELP_NEU_1	{%NAME% buzzes, concerned by my choice of word.}
EXP_NPC_RES_WORD_SAY_HELP_POS_1	{%NAME% interprets my language as a request for help. Almost reflexively, as though by some involuntary instinct, the Korvax recharges my exosuit.}
EXP_NPC_RES_WORD_SAY_LORE_NEG_1	{%NAME% flashes their visor lights, but says nothing. They seem to doubt my understanding of the word I have spoken.}
EXP_NPC_RES_WORD_SAY_LORE_NEU_1	{%NAME% tilts their head, intrigued by my choice of word.}
EXP_NPC_RES_WORD_SAY_LORE_POS_1	{%NAME% hums gently. They seem pleased by my knowledge of Korvax lore.}
EXP_NPC_RES_WORD_SAY_TECH_NEG_1	{%NAME% recoils, apparently finding something crude about my word choice.}
EXP_NPC_RES_WORD_SAY_TECH_NEU_1	{%NAME% seems pleasantly surprised by my choice of word.}
EXP_NPC_RES_WORD_SAY_TECH_POS_1	{%NAME% seems inspired by my choice of word. They chatter back excitedly, the sentences too long and complicated for me to follow.}
