SCAN_NO_TECH	{No scan technology installed}
WAR_MON_RES_B_17	{I stand fast before the monolith as it slowly drains my life force. I hold on and on, but it is too much.<DELAY>0.4<> I am so tired. My vision starts to fade...
I awaken, as if from the most perfect sleep. I am lying in a shallow pool of nanites, but I feel incredible. All sense of lethargy is banished.}
WAR_MON_RES_C_17	{I move beyond the reach of the life-draining monolith. It towers above me, implacable and disapproving.}
WAR_MON_DESC_18	{A beam of light shines down from the sky and is focused by ancient glyphs onto a stone surface marked with ancient carvings.

The beam slowly traces towards images scratched into the stone. A vast warrior battle, an alien city and what could be a stolen treasure. The hand prints of pilgrims cover each one...}
DNT_WAR_MON_LANG_18	{Hirk took the treasure of Nal after battle. Treasure now hides in the city of Hirk.}
WAR_MON_OPT_A_18	{Touch battle image}
WAR_MON_OPT_B_18	{Touch city image}
WAR_MON_OPT_C_18	{Touch treasure image}
WAR_MON_RES_A_18	{The beam of light disappears.

I am left alone in this desolate place.}
WAR_MON_RES_B_18	{The image of the city begins to glow. I hear its bustle, the chatter and bark of people in the street, the tentacle flapping and jaw crunching of those about their day to day business.
And then, silence. They are gone. There is no indication of what happened. I find a small silver chest at my feet, overflowing with nanites.}
WAR_MON_DESC_19	{A sudden pulse of destructive energy flows through my Exosuit. My Multi-Tools sensors sense another build-up of energy growing deep within the monolith. It will soon unleash itself on me, and the landscape that surrounds the ancient site.

I can use my Protection Mesh functions to dampen the imminent energy wave, but systems are too overwhelmed to identify it...}
DNT_WAR_MON_LANG_19	{Warning! Keep clear! Ancient radiation pulse site!}
WAR_MON_OPT_A_19	{Prepare to absorb radiation}
WAR_MON_OPT_B_19	{Prepare to absorb toxins}
WAR_MON_RES_A_19	{The radiation wave is absorbed and the site made safe once again.

The planetary overseer is grateful.}
WAR_MON_RES_B_19	{I am overwhelmed by the energy wave.

Systems cannot cope and planetary ecosystems are disrupted.}
WAR_MON_DESC_20	{I am suddenly underwater. I am drowning. Water clogs my lungs. My chest is on fire. I gasp for air where there is none, and feel only tepid liquids filling me inside and out. My vision is clouding. I know this is my time. This is it. This is what it feels like.

Suddenly, a green hand thrusts itself through the surface of the water. The light is fading.}
DNT_WAR_MON_LANG_20	{Warrior accepts journey's end. Embrace death.}
WAR_MON_OPT_A_20	{Reach for hand}
WAR_MON_OPT_B_20	{Die}
WAR_MON_RES_A_20	{I reach for the hand, but it pushes me back down.
Reality reverts.
I live, but I feel empty somehow, hollow. The air I breathe has the tang of disappointment.}
WAR_MON_RES_B_20	{The lights go out. Reality reverts.

I have known death, and it makes me stronger. The ancients bless me.}
ALL_MONOLITH_REWARD_1	{The ancient spirits that reside here reward me.}
ALL_MONOLITH_REWARD_2	{My journey has been blessed by an ancient force.}
ALL_1_PORT_RIGHT_1	{The Portal opens...}
ALL_1_PORT_WRONG_1	{The Portal remains closed}
EXP_1_PORT_DESC_1	{The ancient power of the Korvax Echoes can be seen in the vast Portal that stands before you. You hear them calling out to you. They speak in a familiar tongue.}
EXP_1_PORT_LANG_1	{Have the travelers come? Are they here?}
EXP_1_PORT_LANG_2	{Tell us. Tell us what the fascinating sentinels hold.}
EXP_1_PORT_OPT_1	{It is probable}
EXP_1_PORT_OPT_2	{Absolutely}
EXP_1_PORT_OPT_3	{No}
EXP_1_PORT_OPT_4	{An unknown power}
EXP_1_PORT_OPT_5	{Lasers}
EXP_1_PORT_OPT_6	{A bad attitude}
TRA_1_PORT_DESC_1	{The vast Portal stands before you. You hear the small, desperate voices of the Gek First Spawn. They speak in your own language.}
TRA_1_PORT_LANG_1	{What has become of the Gek? Do they still adore the First Spawn?}
TRA_1_PORT_LANG_2	{The First Spawn is mighty! How vast has the Dominion of the First Spawn become?}
TRA_1_PORT_OPT_1	{The Gek respect their mighty ancestors. They speak of you often}
TRA_1_PORT_OPT_2	{The Gek are busy creatures. It's hard to tell}
TRA_1_PORT_OPT_3	{They are obsessed with commerce. They forget you}
TRA_1_PORT_OPT_4	{Your Empire is vast. It spans galaxies}
TRA_1_PORT_OPT_5	{I don't know. I can't tell you}
TRA_1_PORT_OPT_6	{Your spawn are now Traders. They reject you}
WAR_1_PORT_DESC_1	{You hear the noise and tumult of a distant world. Suddenly, the screams of the Vy'keen Ancients tear at your mind. They howl in a language you can somehow understand.}
WAR_1_PORT_LANG_1	{The Atlas Interface! It told us about you! Tell us... what was its message?}
WAR_1_PORT_LANG_2	{Grah! Do you fight the Sentinels? War without end!}
WAR_1_PORT_OPT_1	{The Travellers will be spared}
WAR_1_PORT_OPT_2	{The Travellers will be eradicated}
WAR_1_PORT_OPT_3	{The Travellers will be let through any Portals they happen to find}
WAR_1_PORT_OPT_4	{I fight the Sentinels. They do not relent, but I fight them}
WAR_1_PORT_OPT_5	{I fight when I must. I do not fear them}
WAR_1_PORT_OPT_6	{I learn from the Sentinels. They hold secrets}
ALL_PORTAL_DESC_1	{Echoes from a distant world call from behind the gateway.
 
A new land lies beyond.}
ALL_PORTAL_DESC_2	{The portal looms above me, keeping a silent vigil over the planet.
 
Few are shown the path to the distant world it guards.}
ALL_PORTAL_DESC_3	{The world that lies beyond the portal seeps into my mind.
 
It beckons and calls out to me. The pathway to the unknown wants to be opened.}
ALL_PORTAL_DESC_4	{The towering edifice is a portal. A gateway to another world somewhere in the skies above.
 
I hear the whispers of an unknown land.}
ALL_PORTAL_DESC_5	{Echoes of a distant planet emanate from the ancient stone structure.
 
The mysteries of an unknown world lie within.}
ALL_PORTAL_DESC_6	{The giant gateway calls out to me, filling my mind with whispered secrets of a far-flung world.}
ALL_PORTAL_DESC_7	{The lifeforce of another planet pulses from the portal. Invisible yet tangible, I hear it calling out.
 
A few steps could complete a journey that, long ago, would have consumed lifetimes.}
ALL_PORTAL_DESC_8	{A land of strange creatures, plants, sounds and sights lies beyond the portal. They are distant and unknown.
 
I can hear the gate's call repeating in my mind.}
ALL_PORTAL_DESC_9	{The strange structure is a gateway to another planet. A locked passage through the cosmos to an alien world.
 
I feel pulled towards it, and the distant location it somehow connects to.}
ALL_PORTAL_DESC_10	{The vibrations of a distant world pulse from within the portal.
 
Its call is intoxicating. The gateway begs to be opened.}
ALL_PORTAL_RES_A_1	{The giant edifice wakes.
 
It reveals the pathway to a distant world.}
ALL_PORTAL_RES_A_2	{The portal opens.
 
A distant land awaits...}
ALL_PORTAL_RES_A_3	{The portal opens.
 
A journey has been prepared for me.}
ALL_PORTAL_RES_A_4	{The gateway opens.
 
The time has come to discover its secrets.}
ALL_PORTAL_RES_A_5	{The noise of a distant land spills from the portal as the gateway opens.
 
Another world awaits.}
ALL_PORTAL_RES_A_6	{The portal opens.
 
The pathway to another planet is ready.}
ALL_PORTAL_RES_A_7	{Sensations of vast heights, distances and all the places in-between engulf me.
 
The portal is open.}
ALL_PORTAL_RES_A_8	{The air of an distant world gusts towards me.
 
The gateway is waiting.}
ALL_PORTAL_RES_A_9	{The portal's great doorway opens.
 
A distant planet waits for my call...}
ALL_PORTAL_RES_A_10	{Light from another star spills from the portal.
 
The gateway is open.}
ALL_PORTAL_RES_B_1	{The portal remains dormant.
 
A lonely silence hangs heavy in the air.}
ALL_PORTAL_RES_B_2	{The towering gateway stays closed.
 
The portal keeps its secret.}
ALL_PORTAL_RES_B_3	{No pathway is revealed.
 
I remain here, alone, in the alien silence.}
ALL_PORTAL_RES_B_4	{The portal stays silent.
 
I am left alone with the winds of an alien world.}
ALL_PORTAL_RES_B_5	{A new world is forbidden.
 
The portal stands dormant.}
ALL_PORTAL_RES_B_6	{The colossal portal keeps its silent vigil.
 
What lies beyond remains a mystery.}
ALL_PORTAL_RES_B_7	{The gateway remains closed.
 
The portal continues its vigil, unmoved.}
ALL_PORTAL_RES_B_8	{The portal remains closed.
 
There is only silence.}
ALL_PORTAL_RES_B_9	{The portal will provide no passage.
 
The gateway remains closed.}
ALL_PORTAL_RES_B_10	{The portal continues its silent vigil.
 
The planet beyond remains a mystery.}
ALL_PORTAL_OPT_A	{Open portal}
EXP_NPC_ANOMALY_NAME	{Priest Entity Nada}
EXP_NPC_ANOMALY_DESC_1	{As I approach the electronic being, it springs to life. From its dark mask, scanning beams emerge that envelop me. There is a unnerving chittering sound and then, unbelievably, it speaks in my language. 

It offers me a choice. It can show me how to harness black holes, in order to embark upon a journey to the centre of the galaxy. It can light my way to an Atlas Interface, so I may follow a path. Or it will assist me in my own exploration.}
EXP_NPC_ANOMALY_DESC_2	{Nada, is, they reveal, a Korvax priest somehow freed of the group mind, now researching the origins of the galaxy. They express a bold theory - that our entire reality is something else's experiment. A simulation. I want to laugh, then I remember the Atlas. 

Nada offers me a choice again - or is it a test?

Be returned to the fixed path of the Atlas. Find black holes to carry me to the galaxy's core. Or accept a gift to aid me in my own travels.}
EXP_NPC_ANOMALY_DESC_3	{Nada's normally-restrained form is jittering and dancing, the external symptom of an internal struggle. Iridescent lights fluoresce across their visor. At times, another entity seems to stare out. I grasp their arm firmly, and soon a familiar light-pattern reasserts itself.

The Korvax endlessly attempt to regain their errant shell and wipe Nada from existence. But the Priest Entity won't succumb until they have solved the riddle of reality.}
EXP_NPC_ANOMALY_DESC_4	{Nada is plugged into a bank of instruments as I approach. Suns flare and die on the panels, voxel-molecules pop in and out of existence in matched pairs. I see error messages reeling on the readouts and am perplexed.

Nada sees me and explains. There are repeating patterns all across the galaxy, identical elements where there should be endless divergence. This cannot be a coincidence. Did the Atlas do this? Across the room, Polo giggles.}
EXP_NPC_ANOMALY_DESC_5	{Nada stays back from me this time. The lights dance across their visor like warning symbols. Something has changed between us.

Nada explains that their reasoning has advanced. They have found no room in the galaxy for free will or anything but brutal causation. They worry we are but pawns of whatever higher being created us - puppets, dancing on strings. And Nada suspects me. I am the aberration. Am I the puppet-master too?}
EXP_NPC_ANOMALY_DESC_6	{Nada's paranoia is infectious. I find myself spying into the room before I enter. The Gek, Polo, seems occupied, taking joy in their chores, but Nada's shell is static save for the dancing lights. Was... was that a flash of red behind the visor? If it was, it doesn't repeat.

I wait a moment and enter loudly. Polo greets me effusively, but Nada and I are standoffish, our trust failing.}
EXP_NPC_ANOMALY_DESC_7	{Nada and Polo are unusually quiet. Polo is elbow-deep in machinery, Nada in simulations, but the room is tense. It is clear that there has been a recent disagreement.

Nada beckons me over. They express frustration over being tied to a machine body. But I am different - able to survive in so many ways, in so many places. I can go anywhere in this galaxy, be it in search of truth or to live my life as I see fit. Nada envies me, they admit.}
EXP_NPC_ANOMALY_DESC_8	{Nada stands close this time. If the being was capable of emotion, I'd say they were racked by it. They hesitantly rest a hand on my shoulder, and the visor moves close. I cannot see beneath the mask, but I feel that Nada is staring into my eyes.

If I continue to the centre, this will be goodbye. Neither of us know if either will survive. If anything will survive. If freedom or destruction awaits us. Fearfully, sadly, Nada bades me farewell.}
EXP_NPC_ANOMALY_DESC_9	{The panels and systems are idling now. Nada seems to have learned all it can from them. I report my travels and discoveries, and their mask lights up. 

All the pieces have fallen into place, Nada explains. Where once Nada stared at starmaps, now they see lines of code. Connections and patterns everywhere. The galaxy is a spiderweb - but who or what is the spider? The centre is close now. Perhaps soon we will know. I shiver involuntarily.}
EXP_NPC_ANOMALY_LANG_1	{Rare linguistic form. Pleasure! Nada, divergent Korvax. Assistance offered. Route to galactic core? Reconnect with Atlas for guidance? Resources for journey? Yes/no?}
EXP_NPC_ANOMALY_LANG_2	{Repeated visitor! Welcome. Assistance again? Return you to Atlas' control? Find galactic core, meaning? Help you on journey? Decide.}
EXP_NPC_ANOMALY_LANG_3	{Korvax Convergence crave 'non-compliant' Nada shell. Convergence illogical. 

Traveller data, conclusion irresistible. Galaxy shape / size / distribution error. Explore more!}
EXP_NPC_ANOMALY_LANG_4	{Physics simplistic. Chemistry arbitrary. Hypothesis: simulation. Galaxy not base existence. Explore but beware red orb. Find flaws in model, exploit, find truth. Yes/no?}
EXP_NPC_ANOMALY_LANG_5	{Creator of simulation friend or foe? Paranoia imperative. Galaxy purely causal, individualism statistical anomaly - Nada is an error. Trust Nada? Trust you?}
EXP_NPC_ANOMALY_LANG_6	{Red orbs. Dominant, hostile. Creators or their relics?

Singularities are key. Peripatetic path to galactic core. Path message from creator? Or sloppy workmanship?}
EXP_NPC_ANOMALY_LANG_7	{Polo, joy in experience. Only data valuable / joy.

Nada, tied to Shell, to this galaxy. Frustration / sadness. You, not tied. Key - explore, escape, report back.}
EXP_NPC_ANOMALY_LANG_8	{Nada value in progress. Help you escape, purpose at end.

Discoveries converge. Casuative galaxy. Path to core. Red orbs. Simplistic physics. Or ignore, wander free.}
EXP_NPC_ANOMALY_LANG_9	{All must end. Time must end. Data must survive. At start - centre of galaxy. Calm heart of storm. 

Your travel vital. Reach the end. My work done. Return to Convergence.}
EXP_NPC_ANOMALY_OPT_A_1	{Resume the path of the Atlas}
EXP_NPC_ANOMALY_OPT_B_1	{Find a shortcut to the centre}
EXP_NPC_ANOMALY_OPT_C_1	{Resources to aid exploration}
EXP_NPC_ANOMALY_OPT_A_9	{Decline Nada's assistance}
EXP_NPC_ANOMALY_RES_A_1	{The Korvax marks the location of an Atlas Interface.}
EXP_NPC_ANOMALY_RES_B_1	{The alien locates a Black Hole.}
EXP_NPC_ANOMALY_RES_C_1	{Nada gives you a gift with which to explore the galaxy.}
EXP_NPC_ANOMALY_RES_A_9	{Lights flicker frantically across the visor.}
TRA_NPC_ANOMALY_NAME	{Specialist Polo}
TRA_NPC_ANOMALY_DESC_1	{The shorter entity, a Gek, has a jocular air about them. They idly wipe grease-splattered hands on their suit as they address me. Some sort of engineer, maybe. 

To my surprise, they speak my language. Other lifeforms have treated me with amused indifference, but Polo treats me like an equal.

They are curious about my travels, about what sentient species I have seen, if I have met lifeforms they have not. They hope that I will share my experiences.}
TRA_NPC_ANOMALY_DESC_2	{Polo bobs up and down happily as I approach, apparently convinced that I am some kindred spirit in an odyssey of exploration and invention. I am undecided as to whether I share this ethos.

Polo is particularly fascinated by how my brain is affected by interaction with alien language and culture. Can I truly understand such profoundly unfamiliar concepts? Is there a limit to how much I can learn? I have wondered this too.}
TRA_NPC_ANOMALY_DESC_3	{Polo's muzzle breaks into a wide, warm smile at the sight of me. Maybe too wide, given we have only met twice before. Perhaps the jovial Gek feels lonely out here, with only the jittery Korvax Priest for company.

This time, they engage me in talk of wealth. How does an economy function when somehow stretched across an entire galaxy? Just how much can those trade terminals pay out? Polo would welcome any insights.}
TRA_NPC_ANOMALY_DESC_4	{Polo moves to embrace me when I enter, but I recoil instinctively, trained to defend myself after so many sudden, brutal encounters with ill-tempered wildlife. Disappointment flashes in the Gek's wide eyes. I try to apologise, but the mechanic talks over me, suggesting that perhaps I would feel more comfortable in the company of pirates. 

Naturally they'd attack me on sight, but, should I survive, we might glean insight into their technology.}
TRA_NPC_ANOMALY_DESC_5	{Still feeling guilty about my earlier faux-pas, I attempt to greet Polo with a hug. Alarm floods the Gek's face, and they scuttle into a corner. 

An awkward moment passes, then Polo makes a conciliatory suggestion. Sentinels are the bane of both our lives. As I travel, I could make a point of destroying any I encounter. We might then have a better understanding of the irksome machines' weaknesses.

And perhaps then we can be friends again, too.}
TRA_NPC_ANOMALY_DESC_6	{At last, Polo is affable once again. A nod, a smile, even a companionable tap on the arm at one point. A friendship renewed.

I blush when the Gek mechanic tells me that they hope I live a long, healthy life, but have to swallow disappointment when it transpires that Polo's true motivation for this is to study how my suit responds to long-term exposure to extreme climates.}
TRA_NPC_ANOMALY_DESC_7	{With our earlier awkwardness now long forgotten, Polo greets me with a genial wave, and beckons me over. They seem even more excited than usual, which turns out to be because they wish me to indulge in their favourite hobby: unfettered exploration of the stars.

Warping is the apex of galactic travel. To reach a new system is a prize unto itself. Polo earnestly hopes that I will do more of this, and discover places they have never dreamed of.}
TRA_NPC_ANOMALY_DESC_8	{Polo is oddly muted this time. At first I worry that I have caused offence again, but the Gek gestures forlornly at a jumble of broken electronics beside them. It seems that an accident has befallen some of Polo's precious research. 

Polo ushers me out the door apologetically. I know how dear the Gek's data was to them, and yearn to help. Perhaps when I next return, I can restock their archives with reports on a multitude of strange creatures.}
TRA_NPC_ANOMALY_DESC_9	{Polo claims that their information about the more conversational inhabitants of the galaxy has also been affected by the accident earlier on. Strange that Polo did not mention this before. For a moment, I strongly feel that I am being lied to. But why? To what end? 

I could help again, I suppose. It is a fine thing to share tales of adventure, of places and faces only I have ever seen. Or I could indulge my paranoia.}
TRA_NPC_ANOMALY_DESC_10	{I am entirely unsurprised when my 'friend' once again blames the mysterious accident for further gaps in their research data. This time, their files on alien languages have been damaged, or so Polo claims.
 
I feel exasperated, unable to conceal my suspicion that I am being manipulated somehow. The Gek watches me leave, sorrow in their eyes. Perhaps I shall return with words learned from spacefaring beings and from monoliths, perhaps I shall not.}
TRA_NPC_ANOMALY_DESC_11	{I had intended to storm out the room and never return should Polo mention this unconvincing 'accident' again, but instead they claim that all is in hand now. 

The Gek clearly wants to placate me, and as such proclaims that the best way to live is to stop doing what anyone tells me and go enjoy myself. See the stars, earn a fortune, buy myself something nice. That's what they would do in my shoes, claims the mechanic, nudging me in the ribs.}
TRA_NPC_ANOMALY_DESC_12	{I have decided to give Polo the benefit of the doubt. Whatever the outwardly helpful Gek's true intentions, they do not seem any threat to my wellbeing. Polo is surely a friend.

This conviction is cast into some doubt by Polo's suggestion that I should once again throw myself into combat with pirates. What a thrilling existence that would be, they argue, miming dogfighting craft with their hands while making pew-pew sound effects.}
TRA_NPC_ANOMALY_DESC_13	{Polo is reading something on their slate as I enter, and the furrows across the Gek's brow suggest that, whatever the news is, it isn't good. Polo hurriedly turns off the screen when they see me, forcing a smile onto an anxious face.

Distractedly, the mechanic remarks that Sentinel counts are on the rise. It might be wise to thin their ranks, else my freedom of movement might become compromised. I suspect Polo is just trying to get rid of me.}
TRA_NPC_ANOMALY_DESC_14	{Whatever tension there once was between us now seems a distant memory. Polo and I greet each other like best friends, trusted companions in our ongoing adventure among the stars. I know the Gek has a secret, but I trust that it will be shared with me in time.

For now, Polo encourages me to become the ultimate explorer, to push myself to the limits. There are places out there that none can survive in. But perhaps I, and I alone, can.}
TRA_NPC_ANOMALY_DESC_15	{There is an edginess to Polo. My friend has to tell me something. They are ill, gravely ill. Too ill to leave this place. All this time, Polo has been exploring vicariously through me - a sad subterfuge revealed. 

Grief-stricken, I try to offer condolences, but Polo gathers their composure and expresses a hope that I will not squander the time I have. Warp further than ever before. Visit places Polo will never see. The only way to live.}
TRA_NPC_ANOMALY_DESC_16	{Polo is welcoming but sombre. I realise I am in the presence of the real Polo, not the bouncy illusion of before. At least the Gek's sense of wonder remains. They are keen to witness the majesty of the stars through my eyes. 

Creatures are existence at its strangest, its wildest. I am sure that my friend would welcome the chance to see as many of these wondrous, monstrous animals as I can find, and to dream of visiting the worlds they came from.}
TRA_NPC_ANOMALY_LANG_1	{Friends everywhere, if only you know where to look. Friends in all shapes, all sizes, all places.}
TRA_NPC_ANOMALY_LANG_2	{Talk, read, study monoliths. Give yourself a strong brain to match those strong legs. To explore is to discover yourself, friend.}
TRA_NPC_ANOMALY_LANG_3	{Units this, Units that,. A strange, sad way to live a life, eh? Fill your pockets with them, we'll find out why they make all these worlds go round.}
TRA_NPC_ANOMALY_LANG_4	{Nuisance pirates, who are they? Who builds their ships? Exciting to fight, though.}
TRA_NPC_ANOMALY_LANG_5	{Those flying machines, those walking machines! Everywhere! Chase us, hurt us, stop our adventures. Bad robots.}
TRA_NPC_ANOMALY_LANG_6	{You, friend, visit the worst places you can find. Stay alive. No good to me dead, are you? Can't learn much from a corpse. Although... No, never mind, stay alive.}
TRA_NPC_ANOMALY_LANG_7	{A whole galaxy for you, just for you. You must see it all. Aha, no, I joke. A few more systems, maybe?}
TRA_NPC_ANOMALY_LANG_8	{Brand new creatures on every world - easy, easy for my friend. Finding all that one world has, not so easy maybe.}
TRA_NPC_ANOMALY_LANG_9	{Some I know, some I don't, all I want to. Be beacon of friendship to all the stars. Should be reward enough itself, but sure, sure, will give tech.}
TRA_NPC_ANOMALY_LANG_10	{Tourist expects to be understood, traveller yearns to understand.}
TRA_NPC_ANOMALY_LANG_11	{Explore, fight, trade, do whatever you will to find Units. Adventure is its own reward, do not forget this.}
TRA_NPC_ANOMALY_LANG_12	{Pests of the final frontier, nasty little obstacles to adventure. Death is sad, bullies are sadder.}
TRA_NPC_ANOMALY_LANG_13	{Sentinels, pah. Cruel police in a beautiful galaxy. Easier they are to stop, more fun we will have.}
TRA_NPC_ANOMALY_LANG_14	{Do not die, friend. A waste of data. Hee, no, joke. I would miss you so.}
TRA_NPC_ANOMALY_LANG_15	{Trapped in here. Can see stars but little else. Show me the galaxy, share your travels, bring me joy.}
TRA_NPC_ANOMALY_LANG_16	{So good that you are here. You bring me light. Show me creatures I cannot see myself. Many creatures. After that, my friend of friends, I know not what you or I will do.}
TRA_NPC_ANOMALY_OPT_A_1	{Transmit species data}
TRA_NPC_ANOMALY_OPT_A_2	{Transmit language data}
TRA_NPC_ANOMALY_OPT_A_3	{Transmit wealth data}
TRA_NPC_ANOMALY_OPT_A_4	{Transmit pirate data}
TRA_NPC_ANOMALY_OPT_A_5	{Transmit Sentinel data}
TRA_NPC_ANOMALY_OPT_A_6	{Transmit survival data}
TRA_NPC_ANOMALY_OPT_A_7	{Transmit Warp data}
TRA_NPC_ANOMALY_OPT_A_8	{Transmit creature data}
TRA_NPC_ANOMALY_OPT_A_9	{Transmit species data}
TRA_NPC_ANOMALY_OPT_A_10	{Transmit language data}
TRA_NPC_ANOMALY_OPT_A_11	{Transmit wealth data}
TRA_NPC_ANOMALY_OPT_A_12	{Transmit pirate data}
TRA_NPC_ANOMALY_OPT_A_13	{Transmit Sentinel data}
TRA_NPC_ANOMALY_OPT_A_14	{Transmit survival data}
TRA_NPC_ANOMALY_OPT_A_15	{Transmit Warp data}
TRA_NPC_ANOMALY_OPT_A_16	{Transmit final creature data}
TRA_NPC_ANOMALY_RES_A_1	{Polo pores over the data, muttering bitterly at beings they are already familiar with, cheering at those they are not. Finally Polo applauds wildly, and hands me a blueprint.}
TRA_NPC_ANOMALY_RES_A_3	{My fear that Polo would seize my Units proves unfounded. Instead they stare briefly at an incomphrensible graph, then guffaw as if at a shared joke. Then a gift - new Tech.}
TRA_NPC_ANOMALY_RES_A_4	{Polo eyes me cautiously, pleased that the task is completed but not willing to let the earlier insult go. They grunt, hand me a blueprint, turn away. Are we still friends?}
TRA_NPC_ANOMALY_RES_A_6	{Polo seems unconvinced by my claims of longevity, wondering aloud if I am some Sentinel-made replica. They check me over thoroughly, then offer a huge grin - and new tech.}
TRA_NPC_ANOMALY_RES_A_8	{With infectious enthusiasm, Polo browses the creature scans, and we find ourselves cooing and laughing together at some of the stranger species. New tech is icing on the cake.}
TRA_NPC_ANOMALY_RES_A_9	{Polo does not seem much interested in the new species' genetic data, but instead stares at length at my images of each one. My Tech reward is presented with a subtle sadness.}
TRA_NPC_ANOMALY_RES_A_10	{I present the data with barely-concealed anger. Polo pretends not to notice, and, with a brazen wink, rewards me with a new schematic.}
TRA_NPC_ANOMALY_RES_A_13	{Polo silently bundles me into a hug when I return, and this time I do not recoil. I do not ask why, either. There are tears in the Gek's eyes.}
TRA_NPC_ANOMALY_RES_A_15	{Clearly, Polo has a love of maps. The Gek excitedly traces connections between galaxies and devises optimal routes, then with a bittersweet sigh thanks me with a blueprint.}
TRA_NPC_ANOMALY_REQUEST_DESC_1	{The Gek mechanic nods familiarly at me, then offers a tired shrug. Polo is busy analysing my most recent reports, lost in a world of data, and needs no assistance just yet.

They are keen that I continue my exploration, however, and offer a range of discounted Tech to further this cause.}
TRA_NPC_ANOMALY_REQUEST_LANG_1	{Always more to do, oh yes, but not just now, friend. Go, be free, see the stars. Can trade you Tech if it will help you see more.}
TRA_NPC_ANOMALY_REQUEST_OPT_A_1	{Purchase Suit Tech}
TRA_NPC_ANOMALY_REQUEST_OPT_B_1	{Purchase Weapon Tech}
TRA_NPC_ANOMALY_REQUEST_OPT_C_1	{Purchase Ship Tech}
TRA_NPC_ANOMALY_REQUEST_RES_A_1	{Clever. A strong suit, a long life.}
TRA_NPC_ANOMALY_REQUEST_RES_B_1	{Fight only to survive, friend. Treasure the galaxy.}
TRA_NPC_ANOMALY_REQUEST_RES_C_1	{Go further, go faster, see it all!}
TRA_OBS_DESC_1	{The lifeform that works, or worked, in this installation left its equipment scanning the skies for interesting new systems and spacial phenomena.

In its absence, it struck gold. A beacon has been received, and a transmission sequence awaits response.}
TRA_OBS_LANG_1	{1212 - 2121 - 1212 - ****}
TRA_OBS_OPT_A_1	{Input: 2121}
TRA_OBS_OPT_B_1	{Input: 1212}
TRA_OBS_OPT_C_1	{Input: 2112}
TRA_OBS_RES_A_1	{I discover a location within the distant stars.}
TRA_OBS_RES_B_1	{There is no response.

Machines remain dormant, the skies remain silent.}
TRA_OBS_RES_C_1	{There is no response.

Machines remain dormant, the skies remain silent.}
TRA_OBS_DESC_2	{The observatory hums gently as it scans the sky. The trader that manned it was clearly looking for something in the cosmos. And it seems the observatory may have found it.
If I can decipher this beacon's code, I may be able to pinpoint its origin.}
TRA_OBS_LANG_2	{9183 - 1839 - 8391 - ****}
TRA_OBS_OPT_A_2	{Input: 3819}
TRA_OBS_OPT_B_2	{Input: 3918}
TRA_OBS_OPT_C_2	{Input: 8931}
TRA_OBS_RES_A_2	{I crack the code and find the location within the depths of space.}
TRA_OBS_RES_B_2	{I cannot decipher the code.

The location remains a mystery to me.}
TRA_OBS_DESC_3	{A beacon sent from light years away flickers tantalisingly on the monitor, awaiting a response.

But what response do I give?}
TRA_OBS_LANG_3	{9780 - 7809 - 8097 - ****}
TRA_OBS_OPT_A_3	{Input: 8079}
TRA_OBS_OPT_B_3	{Input: 7908}
TRA_OBS_OPT_C_3	{Input: 0978}
TRA_OBS_RES_A_3	{My instincts were correct and my efforts are amply rewarded.}
TRA_OBS_RES_B_3	{My choice is greeted by silence.}
TRA_OBS_DESC_4	{The observatory has long been abandoned by its overseer. Thick layers of dust betray years of neglect. But the systems remain online, ever vigilant as they scan the sky.

A beacon received from a distant alien world flashes on the monitor. All I need to discover its location is enter the correct response.}
TRA_OBS_LANG_4	{2109 - 1092 - 0921 - ****}
TRA_OBS_OPT_A_4	{Input: 9210}
TRA_OBS_OPT_B_4	{Input: 2109}
TRA_OBS_OPT_C_4	{Input: 0129}
TRA_OBS_RES_A_4	{Success! The new location is revealed to me.}
TRA_OBS_RES_B_4	{I enter the code and wait, but no new location is revealed to me.}
TRA_OBS_DESC_5	{Details of past cargo dealings are found on the terminal. The trader who once manned this place must have also used it as a storage room.

The trader was also scanning for something in the cosmos. But what? A blinking beacon on the monitor could hold the answer, but first I must send the correct response.}
TRA_OBS_LANG_5	{3941 - 9413 - 4139 - ****}
TRA_OBS_OPT_A_5	{Input: 3149}
TRA_OBS_OPT_B_5	{Input: 1394}
TRA_OBS_OPT_C_5	{Input: 9134}
TRA_OBS_RES_A_5	{The answer to my question is revealed...}
TRA_OBS_RES_B_5	{No answer arrives.

The code I entered must have been incorrect.}
TRA_OBS_DESC_6	{The trader that once manned this station seems to have been more concerned with commerce than the discovery of new worlds, leaving the observatory to scan the stars in its absence.

A beacon, received years ago, flickers with unceasing persistence on the screen, awaiting the correct response to reveal its origin. Now I must attempt to decipher it.}
TRA_OBS_LANG_6	{4865 - 8654 - 6548 - ****}
TRA_OBS_OPT_A_6	{Input: 5486}
TRA_OBS_OPT_B_6	{Input: 5846}
TRA_OBS_OPT_C_6	{Input: 5648}
TRA_OBS_RES_A_6	{I discover a new location in the depths of space.}
TRA_OBS_RES_B_6	{I send my reply but there is no response.

The code I entered was not correct.}
EXP_OBS_DESC_1	{I stand at the terminal and watch a beacon from an unknown star endlessly play itself out on the screen.

